living room flow,"I'm so glad you called right on time. You must have just read my mind. If we skipped the small talk, want you now. But I don't have to stay til mornin'. I don't have to pack no clothes. I am really not that lonely. We finished and I will go. It's whatever you want. I wanna please you most. Whatever turns you on, ah. Just let me know. You are so creative. Know that when you're makin'. Love to me, you do me. Like no one's ever done it. That is why I want it all the time. I don't want your heart. Or your love. Just do what you do to my body. I just wanna - that is all I want. If these walls could talk. They'd say pick me up, and put me on'em. This bed's way too soft. It's time to get off, keep it goin'. Keep it comin', keep it comin'. Make me want it, don't you want it? Don't you love it?. How you want it? Where you want it? Where we goin'?. Oh, living room floor, ohh. That is all I want. That is all I want. Not your love, not your heart. I just want you to start. And do what you do to my body. Do what you do to my body. I love what you do to my body. Just wanna fuck"
while we're young,"Baby while we're young. I think we should do something crazy. Like say: Fuck everyone. And just run away from the daily routine. Yeah you know what I mean. I'm tellin' everybody you're mine and I like it. And I really hope you don't mind. I can't fight it. No, you know I cannot hide it. 'cause I am so excited. That I finally decided on you. 'Cause it's been another perfect day with ya. Wanna lay with ya. Spend the night with ya. Then spend my life with ya, alright. Alright, alright. Yeah you heard me right. I'll go everywhere you go. (I'll go everywhere you go). You know I'll go, I'll go. Everywhere you go. (I'll go everywhere you go). You know I'll go, I'll go. Everywhere you go. (I'll go everywhere you go. You know I'll go, I'll go). Everywhere you go. (I'll go everywhere you go). You know I'll go, I'll go. Uh. Baby while we're young we should just have fun. We should just do whatever we want. And tell everyone that we fell in love with each other. Ooh that we found the one in one another. I'm tellin' everybody you're mine and I like it. (I like it). And I really hope you don't mind. I can't fight it. No, you know I cannot hide it. 'cause I am so excited. That I finally decided on you (oh yeah). 'Cause it's been another perfect day with ya. (perfect day). Wanna lay with ya (wanna lay). Spend the night with ya. Spend my life with you, alright. You know I'm down to ride. (You know I am down to ride. You know I am down to ride). I'm giving you my heart, please don't break it. Take it and lock it up and put me in your pocket, love. Alright, right by your side. I'll go everywhere you go. (I'll go everywhere you go). You know I'll go, I'll go. Everywhere you go. (I'll go everywhere you go). You know I'll go, I'll go. Everywhere you go. (I'll go everywhere you go). You know I'll go, you know I'll go. Everywhere you go. (I'll go everywhere you go. You know I'll go, I'll go, ooh). Baby while we're young. We should rush and do something dumb. We should, we should, we should. We should just say: Fuck everyone. And walk hand in hand to the sun"
my mine,"Yeah! Yeah! Yeah!. Memories sinkin', deep in, leakin' in my mine. All of the time tried to forget you. Thought I could get you to be mine. Memories sinkin', deep in, leakin' in my mine. All of the time I can't forget to. Tried to forget you in my mine. [Verse 1]. Pretend to not have the patience. Pretend that there is enough time for waiting. Remembering when we kept it all basic. I wanna go back so that I can taste it. What do I care for?. You were not there anymore. I was not careful. That is all your fault. You let me fall. Chorus. Memories sinkin', deep in, leakin' in my mine. All of the time tried to forget you. Thought I could get you to be mine. Memories sinkin', deep in, leakin' in my mine. All of the time I can't forget to. Tried to forget you in my mine. [Verse 2]. Buried alive inside a nightmare. Living a life where you're gone. There is no light here. It will be light-years until my mind's clear. I did it all for love. I did it all. I'd trade it all for you. I'd trade it all. But what do I care for?. What are you here for?. If you're not there when I call?. I was not careful. And that's all your fault. You let me fall. Chorus. Memories sinkin', deep in, leakin' in my mine. All of the time tried to forget you. Thought I could get you to be mine. Memories sinkin', deep in, leakin' in my mine. All of the time I can't forget to. Tried to forget you in my mine. [Verse 3]. This ain't how it was supposed to be. You and me supposed to be. Remember when it be just me and you in your crib smoking trees. Like it's in control of me. You had a hold on me. Had me so gone baby. Yeah, you had me giving me all of me. Now it's all over, it's all done. Shouldn't have told ya, you're the one. I'll be all right. I will be just fine. I'll be OK. Once you get out my mind. Chorus. Memories sinkin', deep in, leakin' in my mine. All of the time tried to forget you. Thought I could get you to be mine. Memories sinkin', deep in, leakin' in my mine. All of the time I can't forget to. Tried to forget you in my mine"
pretty bird,"Yes, this is all I have left in me. Said, she had just, self expressed. Herself to death, now nothing's left. Nothingness. She finessed it. She the best. And I said, and I said. Pretty bird, and I said. Pretty bird, pretty bird, pretty bird, pretty bird. Sounds so pretty when you cry. Pretty bird, pretty bird, pretty bird, pretty bird. You're so pretty, but why I never see you fly?. Pretty bird, pretty bird, pretty bird, pretty bird. Please don't die, please don't die. Pretty bird, pretty bird, I know your hurtin'. Well so am I, so am I. Pretty bird, pretty bird, pretty bird, pretty bird. Please don't cry. You can fly. And there's a blinding light inside of you. There's a blinding light inside of you. And they can not deny you, they can not deny you. Pretty bird, pretty bird, pretty bird. Pretty bird, pretty bird, pretty bird, pretty bird. Please don't die, please don't die. Pretty bird, pretty bird, pretty bird, pretty bird. Please don't die, please don't die. Pretty bird, pretty bird, pretty bird, pretty bird. Pretty bird, pretty bird. Sounds so pretty when you cry. Pretty bird, pretty bird I know your hurting. well so am I. Pretty bird, pretty bird, pretty bird. Pretty bird, pretty bird, pretty bird. Pretty bird, pretty bird, pretty bird. Please don't die, please don't cry. Pretty bird, pretty bird. We need your life, we need your life. The city heard, the sounds of a pretty bird. Yelling from slauson to 53rd. What happens if you holla and can't be heard?. For the birds and the drama, I paint these words. They say through the pain is how we learn. You landed on the window of pain, simple and plain. It's hard for you to fly in the rain. The way love goes is not the way that it came. Come fly, un-die, be born again. I've seen the strongest of them be torn from men. Ripped apart and get put back together. Them the ones with the most beautiful feathers. Lets flock together, rock together, nirvana. A birds persona to be free and honor. The sky, that's when you really most high. Unafraid of the unknown and now we know why. Pretty bird, pretty bird, pretty bird. Let me hear that back"
bed peace (feat. childish gambino),"(Verso 1: Jhene Aiko). Wake up, wake up. Gotta get this paper, get this cake up. Gotta do my hair, gotta put on makeup. Gotta act like I care about this fake stuff. Straight up what a waste of my day. If I had it my way I'd roll out of bed. Say bout 2: 30 mid day. Hit the blunt then, hit you up to come over to my place. You show up right away. We make love then and then we fuck. And then you'd give me my space. Yeah. (Refrão: Jhene Aiko). What I am trying to say is. That love is ours to make so we should make it. Everything else can wait. The time is ours to take so we should take it. (Verso 2: Jhene Aiko). Wake up, wake up, bake up. Gotta heat the vape up. Lets get faded. Gotta call your job tell em' you won't make it. Ain't nobody here baby lets get wasted. We should just get naked. Cause I be working hard and I know you be on that same shit. Every other day's a different game that you just can't win. I just want to ease your mind and make you feel all right. So go head tell your baby mama you gon be with me tonight. Right. (Refrão: Jhene Aiko). What I am trying to say is. That love is ours to make so we should make it. Everything else can wait. The time is ours to take so we should take it. (Verso 3: Childish Gambino). It's not love, but it's pretty close. Hot fudge and a little smoke. I didn't mean it means nothing to you. Hands locked on my black couch with nothing to do. Can't stop on cloud 20. Married to the drugs, but the feels keeps coming. Finally stop crying, but your nose is still running. Wipe it on my shirt, haha I need sleep. You tell me that you wanna do it big. I love when you say ""guess what? "" (What? What?). Reading stories to another nigga kid. And I wonder why I'm all messed up (up up up up). Cause we gotta be responsible sometimes. Being a class act nevermind my alumni. I don't wanna be a round a baby so dumb high. I don't see the beauty of a momma on insides. Curled up with my head on your chest. It's the best remedy for the pain and the stress. If the world doesn't change then we'll never get dressed. It will be like this to the kiss of the death. Of my soul, bowl of the blue dream, no. Not a good team, once sold two half's. No joke, who laughs?. Just us (Just us, just us). (Verso 4: Jhene Aiko). Okay, got this OJ and Jose. Mixed it up with that Rose. We gon' do this our own way. Alright, okay. What is it that your smoking?. Piece it up with this peace and love. And this peace and love like the old days. (Refrão: Jhene Aiko). What I am trying to say is. That love is ours to make so we should make it. Everything else can wait. The time is ours to take so we should take it. (Outro: Jhene Aiko). We should stay right here. We should lay right here. Cause everything is okay right here. You should stay right here. We should lay right here. Cause everything is okay right here"
wth (feat. ab-soul),"[Verse 1: Jhene Aiko]. I am Alice. I'm in Wonderland. Where's the rabbit?. He is late again. Goodness. Gracious. I can't wait for him. Who has got the time?. Round and round and. Round and round we go. It's just like the. Same scenario. Good for nothing. Feels like somethin' ain't right. [Hook]. I might. I might've got way too high. [Verse 2: Jhene Aiko]. I am trippin'. I keep slippin'. I cannot recognize. What's the difference. In pretending and. Living a real lie?. Ha ha ha ha ha. Everything is spinnin now. Ha ha ha ha ha. Have you seen the ground. [Hook]. I might. I might've got way too high. [Verse 3: Ab-Soul]. (Break it down, roll it up). Mountains and valleys, seashells from Sally. Ego removed but still in tune exactly. Pride set aside, third eye winking at me. My what a ride, real trippy shit. I glimpse with a squint but I can see a whole grip. My retinas red, my vision is crystal. Didn't use pencil but it's true I led. My way to this sedated state of mind I always dread. My daddy did it this is the state of mind I always had. I'm mad he died before we got to have a man to man. I got two packs of sweet aromatics and 14 grams. So I take a deep breath, Puff, puff, pass. Part of my paranoia, I'm just a product of my past. I show you how to let your soul sail. Sparking lala, talking to Allah. (Might of got way too high). [Hook]. I might. I might've got way too high"
the vapors (feat. vince staples),"[Verse 1]. You been on my mind. I been tryna let it go. I been tryna find. Somethin' as incredible. As you and I. But that's a never. No feeling can compare to you. You just gotta let me know. [Hook]. Can I hit it again?. Can I hit it again?. Can I hit it again?. Can I hit it again?. (x2). (Take me over. I'm under your control). [Verse 2]. You stay on the grind. I'm always available. Rollin' in my ride. So I gotta take it slow. You got me so high. Up, up and away we go. Racing to the sky. I'm feel unfadable. Cuz the vapors. Can save us. And take us. And make us believe. That we are free. We can be free. So can I please. [Hook]. Can I hit it again?. Can I hit it again?. Can I hit it again?. Can I hit it again?. (x2). [Verse 3: Vince Staples]. Please don't rain on my parade. The falling from the sky just remind of the days. When you was crying for attention. I ignored it as a phase. Until you couldn't take the tension. Now I wish you would have stayed. Walking through the smoke and mirrors, I'm burdened, you burning bridges. Memories fading faded it help you not to remember. The trials and tribulations, eyes red from crying. The perfect way to disguise it you was blinded by our fate. Please don't rain on my parade because this float was built for you. Kinda hard to chase you down when you floating through the room. All you wanted was the truth and all I wanted was my way. Regardless how I word the phrase all you hear me say is. [Hook]. Can I hit it again?. Can I hit it again?. Can I hit it again?. Can I hit it again?. (x2)"
spotless mind,"Change is inevitable. Why hold on to what you have to let go of?. Like, did I really break your heart?. Was it all my fault?. If you don't knock it off. You know like I know where this was headed. I'm a wanderer. I'm a wanderer, baby. Wanderer. I'm a wanderer. Flying kite was nice. Turquoise trees and ocean breezes. Loving you was nice. But it's a new day, a new season. I've been sad inside. And he could see it, picked up your pieces. We are just alive. And alright, alright, alright. I'm a wanderer. I'm a wanderer, baby. Wanderer. I'm a wanderer. Started as a love song, started. 26 years in the making. Moving from place to places. Never really settled down. Without a place to come home. I got so used to the changes. Moving from stranger to strangest. You can face it. I am so crazy. I'm a wanderer. I'm a wanderer, baby. Wanderer. I'm a wanderer. Shame on me for changing. No, shame on you for staying the same. Shame on me for changing. No, shame on you for staying the same. I'm a wanderer. I'm a wanderer, baby. Wanderer. I'm a wanderer"
promises (feat. miyagi & namiko),"(Twinkle) Little (Star). How I wonder what you (Are). Sing it Nami. I've been coming home late night. I've been sleeping past day light. I'm waking up you're not by my side. Baby that ain't right. I wanna be there with you. I really do be missing you. Everything I do is for you. And I really do adore you. You're getting so big now. You're making me so proud cuz. You are such a star. And you know that you are. So every single little moment. I can't be there to hold your hand. I need for you to know that. I need for you to know that. Anything should happen, anything should happen. Cause anything could, if anything should happen. Know that you'll be alright, know that you'll be alright. Just promise you'll be alright, promise you'll be alright. If anything (Alright, promise I'll be alright). (Promise I'll be alright, promise I'll be alright). If anything should happen (promise I'll be alright). (Promise I'll be alright, promise I'll be, promise I'll be, alright). Swear that I can still feel you here. I just can't believe you're not here. I've been needing you. All I dream is you. Don't think I can make it. I don't think I can make it. But then I hear you say that. I bet not do nothing crazy. Cause Nami really needs you. And I would never leave you. Cause I am in the stars. And everywhere you are. And every single little moment. Every single bit of sunshine just. Know that I am right by your side. Know that you are right by my side. So I'm gonna make you so proud. You don't ever have to worry 'bout me. No, you don't ever have to worry 'bout me. Promise I'll be alright, promise I'll be alright. Wish that you were here now. I'm missing you right here but. Promise I'll be alright, promise I'll be alright. Promise I'll be alright, promise I'll be, promise I'll be alright. Promise I'll be alright, just know that I'll be alright. Know that I'll be alright, know that I'll be, know that I'll be alright. Alright. Alright, alright, alright. Alright, alright, alright. Everything is alright, everything's in your mind. Life is what you make it, life is what you make it. And anything can happen, anything can happen. But you just gotta get past it, you just gotta laugh at it. And anything can happen, you fall down get back up. And you better believe that nothing holding me back. So everything is alright, everything is alright. Everything is alright, promise I'll be. Promise you'll be, promise we'll be alright. Hello, echo"
3:16 am,"Out of place, out of space and time, wide awake. Out of papers I am, not okay. I am out my mind. Outer space, that's where I been goin'. To a place where, place where nobody knows. Floating at a pace where now you see me now and now you don't. I do not feel the fear of fallin, I wanna fly. If it all goes well then I will. But what if I don't?. Ill be right where I was before. But I'm not alone, you said take my hand. And we go (and we go), and we go (and we go). And I hope that we don't overdose. Cause we don't (cause we don't). No we don't (no we don't). Ever know when we have had enough. Wait.... Why my thoughts so cloudy and my hearts so crowded with pain. I am so frustrated like my souls been taken away. Broken promise of everything that I thought you were. Thought you said this would never hurt, that's what it did that is all. I do not feel the fear of falling. Thought I could fly. It didn't go well and oh well. What do you know. I'm right back where I was before. But I'm not alone, you said take my hand. And we go (and we go), and we go (and we go). And I hope that we don't overdose. Cause we don't (cause we don't). No we don't (no we don't). Ever know when we have had enough. He's so cold, He's so cold. I've never felt these things before. I'm loving for sure, please don't go. How could you not need me no more?. You're the only thing that I loved. You're the only thing that I want. You're the only reason, the only reason. I do not feel the fear of fallin', I wanna fly. If it all goes well, then I will. But what if I don't?. Ill be right where I was before. But I'm not alone. You're all that I know"
b's & h's,"You are such a man. You got the whole world in your hands. But you be playing. Fucking all the girls she can't stand. Bitches and hoes. So many bitches and hoes. But they don't know. I bet they don't even know, oh. That you live in her home. Eating all of her food. She be paying your bills. Buying all of your clothes. And she pay for your phone. You be thinking you on. With your ain't-shit friends. Did you pick up your kids?. She be watching your kids. You gon' fuck around and find out. Oh yeah, oh yeah. Oh yeah, you gon' fuck around and find out. Oh-oh-oh-oh-oh. You gon' fuck around and find out. It does not get better. You cannot do better. And you will regret it. Oh yeah, you gon' fuck around and find yourself by yourself. Find yourself, that might help. Traded it all in for, messing with all of your. Bitches and hoes. So many bitches and hoes. But they don't know. I bet they don't even know. (Don't know). That you live in her home. Eating all of her food. She be paying your bills. Buying all of your clothes. And she pay for your phone. You be thinking you on. With your ain't-shit friends. Did you pick up your kids?. (Did you pick up your kids?). She be watching your kids, oh, oh. You gon' fuck around and find out. Oh-oh-oh-oh-oh. You gon' fuck around and find out. Oh-oh-oh-oh-oh. You gon' fuck around and find out. You got, you got so. You got so many, you got so many. You got too many, you got too many. You got soft. That type of shit you be doing. That's some weak shit that you on. These bitches don't got no feelings. They don't got no senses. They don't got no soul (don't got no soul). You know that I'm right and you know that you wrong. Running 'round loving these hoes. Running 'round thinking these women. Is at your disposal. That is a no-no-no. Just so you know-know-know. There is a difference between a woman. A bitch, and a hoe-oh-oh. Switch up the flow-ow-ow. Niggas, let's talk about all these niggas. They be the main ones be trippin'. They be the main ones be acting like bitches and hoes. Yeah you know that I know. Off the top of the dome. Better than any bitch that came before me. Who are you kidding? Your whole swag is stolen. You know that you owe me. Yeah I am the only one, I am the chosen one. Yeah, I am the chosen one"
beautiful ruin,"I remember. Like lightning to the heart, I saw things clearer. The day you came inside, I felt brand new. So what am I to do now?. Well you don't have to say it. Cuz I can read your mind. You do not have to stay here. If you don't have the time. And if you muust go, just know I gave you my whole world. Trusted & loved you, must've been cuz I'm a crazy girl. Yeah you really took things too far. And there are some things that you should know. My mama was a gypsy. My daddy was a rollin' stone. I wonder did he miss me... cuz he was never home. So I thought you would, I thought you could be the one. I never really knew love. So I thought you would, I thought you could be the one. But you already knew love. From a beautiful woman & your beautiful child. Left me in beautiful ruins, instead of pullin' me out. So I think I should, I think I'll just walk away. From the beautiful moments we made. From the beautiful ruins you made here. What a beautiful woman you've made of me"
bed peace (feat. childish gambino),"(Verso 1: Jhene Aiko). Wake up, wake up. Gotta get this paper, get this cake up. Gotta do my hair, gotta put on makeup. Gotta act like I care about this fake stuff. Straight up what a waste of my day. If I had it my way I'd roll out of bed. Say bout 2: 30 mid day. Hit the blunt then, hit you up to come over to my place. You show up right away. We make love then and then we fuck. And then you'd give me my space. Yeah. (Refrão: Jhene Aiko). What I am trying to say is. That love is ours to make so we should make it. Everything else can wait. The time is ours to take so we should take it. (Verso 2: Jhene Aiko). Wake up, wake up, bake up. Gotta heat the vape up. Lets get faded. Gotta call your job tell em' you won't make it. Ain't nobody here baby lets get wasted. We should just get naked. Cause I be working hard and I know you be on that same shit. Every other day's a different game that you just can't win. I just want to ease your mind and make you feel all right. So go head tell your baby mama you gon be with me tonight. Right. (Refrão: Jhene Aiko). What I am trying to say is. That love is ours to make so we should make it. Everything else can wait. The time is ours to take so we should take it. (Verso 3: Childish Gambino). It's not love, but it's pretty close. Hot fudge and a little smoke. I didn't mean it means nothing to you. Hands locked on my black couch with nothing to do. Can't stop on cloud 20. Married to the drugs, but the feels keeps coming. Finally stop crying, but your nose is still running. Wipe it on my shirt, haha I need sleep. You tell me that you wanna do it big. I love when you say ""guess what? "" (What? What?). Reading stories to another nigga kid. And I wonder why I'm all messed up (up up up up). Cause we gotta be responsible sometimes. Being a class act nevermind my alumni. I don't wanna be a round a baby so dumb high. I don't see the beauty of a momma on insides. Curled up with my head on your chest. It's the best remedy for the pain and the stress. If the world doesn't change then we'll never get dressed. It will be like this to the kiss of the death. Of my soul, bowl of the blue dream, no. Not a good team, once sold two half's. No joke, who laughs?. Just us (Just us, just us). (Verso 4: Jhene Aiko). Okay, got this OJ and Jose. Mixed it up with that Rose. We gon' do this our own way. Alright, okay. What is it that your smoking?. Piece it up with this peace and love. And this peace and love like the old days. (Refrão: Jhene Aiko). What I am trying to say is. That love is ours to make so we should make it. Everything else can wait. The time is ours to take so we should take it. (Outro: Jhene Aiko). We should stay right here. We should lay right here. Cause everything is okay right here. You should stay right here. We should lay right here. Cause everything is okay right here"
